City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
502,Woodstock,CA,80.82,scattered clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
506,Trairi,BR,77.18,few clouds,-3.2778,-39.2689,janelas do mar
507,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
508,Douentza,ML,89.71,light rain,14.9951,-2.9517,Ogomono Doumbo
511,Dingle,PH,75.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
512,Cheney,US,79.29,few clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
517,Dwarka,IN,81.59,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
519,Japura,ID,76.87,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
521,Seydi,TM,87.03,clear sky,39.4816,62.9137,Seydi oteli
532,Chalala,IN,77.4,overcast clouds,21.4167,71.1667,Radhe guest house
534,Moville,US,88.48,clear sky,42.4889,-96.0725,EastSide Acres Mobile Home Park
535,Vung Tau,VN,80.4,overcast clouds,10.346,107.0843,Seaside Resort
536,Hun,LY,77.45,clear sky,29.1268,15.9477,Alrwasi Hotel
537,Tura,IN,75.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
538,Scalea,IT,78.96,scattered clouds,39.813,15.7956,Grand Hotel de Rose
539,Rexburg,US,89.28,scattered clouds,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
540,Bodden Town,KY,88.0,few clouds,19.2833,-81.25,Will T Place
542,Walajapet,IN,79.07,overcast clouds,12.9333,79.3833,ARS.Residency
543,Matara,LK,78.87,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
545,Wanning,CN,84.36,overcast clouds,18.8003,110.3967,Paradise Hotel
548,Wajima,JP,75.88,mist,37.4,136.9,Wajiima Onsen Yashio
549,Aruppukkottai,IN,81.46,overcast clouds,9.5167,78.1,Karadi Lodge
551,Filadelfia,US,82.4,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
552,Sohag,EG,84.49,clear sky,26.557,31.6948,Civil Registry - Sohag 1
558,Calderitas,MX,83.77,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
559,Itarema,BR,77.9,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
566,Auki,SB,83.95,scattered clouds,-8.7676,160.7034,Auki Motel
579,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
583,Cocobeach,GA,75.81,light rain,1.0002,9.5823,Hotel Esperance
589,Corinto,GR,78.42,clear sky,37.9407,22.9573,Ephira Hotel
593,Zuwarah,LY,79.72,clear sky,32.9312,12.082,مطعم كابيتانو
594,Holetown,BB,82.96,overcast clouds,13.1867,-59.6381,The Palms Resort
595,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
599,Lorengau,PG,82.4,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
602,Portland,US,82.56,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
607,Freeport,US,80.58,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
608,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
609,Ust-Nera,RU,78.87,overcast clouds,64.5667,143.2,Hotel Ust-Nera
612,Neepawa,CA,77.99,few clouds,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
613,Port Moresby,PG,80.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
614,Pemberton,CA,76.12,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
621,Cairns,AU,75.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
622,Bhatkal,IN,78.13,overcast clouds,13.9667,74.5667,Nilawar Palace
624,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
625,Salinopolis,BR,77.95,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
626,Bandarbeyla,SO,75.83,overcast clouds,9.4942,50.8122,JABIR HOTEL
630,Slave Lake,CA,76.01,scattered clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
631,Carutapera,BR,75.33,broken clouds,-1.195,-46.02,Lidera
633,Astoria,US,75.7,few clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
634,The Pas,CA,81.27,few clouds,53.8251,-101.2541,Wescana Inn
648,Palmer,US,75.96,overcast clouds,42.1584,-72.3287,Wedgewood Motel
649,Mandera,KE,76.35,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
653,South Lake Tahoe,US,86.85,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
655,Alanya,TR,81.03,clear sky,36.5438,31.9998,Panorama Hotel
656,Trinidad,BO,75.0,few clouds,-14.8333,-64.9,Hotel Piesta
660,Bloomingdale,US,89.92,scattered clouds,27.8936,-82.2404,Travel Club for Free
666,Aswan,EG,87.51,clear sky,24.0934,32.907,Nuba Nile
669,Dibulla,CO,81.09,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
670,Agar,IN,75.87,overcast clouds,23.7,76.0167,Bherav Mandir
675,Ishigaki,JP,84.6,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
676,Nichinan,JP,83.68,overcast clouds,31.6,131.3667,Guest House Aki
679,Ciudad Bolivar,VE,81.18,overcast clouds,8.1222,-63.5497,Hotel Edi
685,Havelock,US,82.35,clear sky,34.8791,-76.9013,Sherwood Motel
686,Sancti Spiritus,CU,79.84,clear sky,21.9297,-79.4425,Hostal El Parque
687,Saint-Georges,GD,79.47,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
688,Itacoatiara,BR,77.59,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
